,features,loss,int_rep
1295,10000110011,0.5565573738829982,1075
1630,10000110100,0.5823236615320566,1076
1193,10000110101,0.5495481623258904,1077
1626,10000110110,0.5820457371868243,1078
1201,10000110111,0.5501516444580132,1079
1588,10000111000,0.5785644795140947,1080
1249,10000111001,0.5540797595501372,1081
1601,10000111010,0.579385564930242,1082
1252,10000111011,0.5541943200182292,1083
1598,10000111100,0.5791845545143042,1084
1155,10000111101,0.5473393720221434,1085
1586,10000111110,0.5784047844130422,1086
1168,10000111111,0.5478377573326353,1087
1866,10001000000,0.6342983246133025,1088
754,10001000001,0.5171881243657265,1089
1878,10001000010,0.6355926767124932,1090
560,10001000011,0.5007565381157952,1091
1875,10001000100,0.635103645894693,1092
88,10001000101,0.459188957943182,1093
1907,10001000110,0.6393966628659347,1094
93,10001000111,0.459528313759265,1095
1902,10001001000,0.6390598785338752,1096
620,10001001001,0.507463197312448,1097
1901,10001001010,0.6390036439093447,1098
577,10001001011,0.5026135097658885,1099
1955,10001001100,0.6474894101870244,1100
135,10001001101,0.4636858649256435,1101
1965,10001001110,0.6494660867533618,1102
145,10001001111,0.4645757647320565,1103
1677,10001010000,0.5883106728196432,1104
1333,10001010001,0.5586228432462731,1105
1667,10001010010,0.5869765114274108,1106
1337,10001010011,0.5591606863371877,1107
1647,10001010100,0.5838350314404154,1108
1177,10001010101,0.5482032335387341,1109
1623,10001010110,0.5819493560198749,1110
1179,10001010111,0.548491245044651,1111
1645,10001011000,0.5836979879586992,1112
1301,10001011001,0.5568523300207682,1113
1649,10001011010,0.5838962560033366,1114
1307,10001011011,0.5570498239756209,1115
1606,10001011100,0.5799049827654399,1116
1144,10001011101,0.5469476499329682,1117
1593,10001011110,0.5788724215446898,1118
1149,10001011111,0.5470978106095047,1119
1891,10001100000,0.6375689555435566,1120
378,10001100001,0.4811259186253026,1121
1861,10001100010,0.63364343075362,1122
320,10001100011,0.4770492016101132,1123
1874,10001100100,0.6350843976701336,1124
42,10001100101,0.4544105435673503,1125
1893,10001100110,0.6376993428269188,1126
46,10001100111,0.4546011350650434,1127
1936,10001101000,0.6436630545877456,1128
449,10001101001,0.4887683183492544,1129
1917,10001101010,0.6404569146075095,1130
400,10001101011,0.4831607489974517,1131
1948,10001101100,0.64608518489769,1132
71,10001101101,0.4575552113185652,1133
1969,10001101110,0.6507635133676007,1134
75,10001101111,0.4578004792981952,1135
1609,10001110000,0.5803538172055919,1136
1293,10001110001,0.5564816969473617,1137
1612,10001110010,0.5805506637533737,1138
1314,10001110011,0.5573199412306775,1139
1572,10001110100,0.5771147112676176,1140
1114,10001110101,0.545845373303001,1141
1565,10001110110,0.5764359010696353,1142
1123,10001110111,0.5460919973496302,1143
1583,10001111000,0.578286590475701,1144
1268,10001111001,0.5548582480724612,1145
1582,10001111010,0.5780658087117685,1146
1277,10001111011,0.5553861397084955,1147
1557,10001111100,0.5750594463519195,1148
1083,10001111101,0.5446819789840285,1149
1551,10001111110,0.5745148860229641,1150
1069,10001111111,0.5443323241668144,1151
